population,deltaAge
bLHmX-Inn,-1.69
bLHmX-Inn,2.53
bLHmX-Inn,0.01
bLHmX-Inn,2.35
bLHmX-Inn,2.42
bLHmX-Inn,-0.05
bLHmX-Inn,1.79
bLHmX-Inn,-0.35
bLHmX-Inn,3.76
bLHmX-Inn,1.14
bLHmX-Inn,2.74
bLHmX-Inn,0.41
bLHmX-Inn,4.20
bLHmX-Inn,1.26
bLHmX-Inn,2.36
bLHmX-Inn,1.43
bLHmX-Inn,3.79
bLHmX-Inn,-0.70
bLHmX-Inn,2.66
bLHmX-Inn,2.08
bLHmX-Inn,0.60
bLHmX-Inn,4.54
bLHmX-Inn,0.15
bLHmX-Inn,1.82
bLHmX-Inn,1.47
bLHmX-Inn,-0.56
bLHmX-Inn,1.29
bLHmX-Inn,3.18
bLHmX-Inn,-1.56
bLHmX-Inn,2.46
bLHmX-Inn,2.63
bLHmX-Inn,5.25
bLHmX-Inn,4.85
bLHmX-Inn,5.01
bLHmX-Inn,5.33
bLHmX-Inn,0.34
bLHmX-Inn,4.05
bLHmX-Inn,0.59
bLHmX-Inn,5.15
bLHmX-Inn,0.86
bLHmX-Inn,-0.14
bLHmX-Inn,3.70
bLHmX-Inn,1.07
bLHmX-Inn,-2.46
bLHmX-Inn,5.44
bLHmX-Inn,3.35
bLHmX-Inn,0.46
bLHmX-Inn,2.12
bLHmX-Inn,-1.29
bLHmX-Inn,-2.01
bLHmX-Inn,5.55
bLHmX-Inn,1.82
bLHmX-Inn,4.72
bLHmX-Inn,6.38
bLHmX-Inn,-1.03
bLHmX-Inn,2.57
bLHmX-Inn,1.28
bLHmX-Inn,1.34
bLHmX-Inn,-0.34
bLHmX-Inn,5.69
bLHmX-Inn,4.01
bLHmX-Inn,3.28
bLHmX-Inn,4.04
bLHmX-Inn,5.59
bLHmX-Inn,5.11
bLHmX-Inn,-1.84
bLHmX-Inn,0.60
bLHmX-Inn,2.72
bLHmX-Inn,3.33
bLHmX-Inn,2.26
bLHmX-Inn,2.62
bLHmX-Inn,-2.01
bLHmX-Inn,3.87
bLHmX-Inn,-0.43
bLHmX-Inn,2.44
bLHmX-Inn,2.63
bLHmX-Inn,1.41
bLHmX-Inn,2.82
bLHmX-Inn,4.05
bLHmX-Inn,4.53
bLHmX-Inn,2.32
bLHmX-Inn,2.95
bLHmX-Inn,4.30
bLHmX-Inn,1.33
bLHmX-Inn,3.16
bLHmX-Inn,4.80
bLHmX-Inn,2.21
bLHmX-Inn,3.39
bLHmX-Inn,4.05
bLHmX-Inn,1.40
bLHmX-Inn,3.17
bLHmX-Inn,1.56
bLHmX-Inn,3.01
bLHmX-Inn,0.14
bLHmX-Inn,3.63
bLHmX-Inn,2.54
bLHmX-Inn,-0.03
bLHmX-Inn,0.35
bLHmX-Inn,5.67
bLHmX-Inn,0.55
bLHmX-Inn,4.07
bLHmX-Inn,2.58
bLHmX-Inn,3.98
bLHmX-Inn,6.08
bLHmX-Inn,1.18
bLHmX-Inn,1.89
bLHmX-Inn,4.72
bLHmX-Inn,1.30
bLHmX-Inn,3.37
bLHmX-Inn,1.68
bLHmX-Inn,0.60
bLHmX-Inn,2.15
bLHmX-Inn,4.84
bLHmX-Inn,1.28
bLHmX-Inn,4.32
bLHmX-Inn,0.99
bLHmX-Inn,1.73
bLHmX-Inn,-0.26
bLHmX-Inn,4.16
bLHmX-Inn,2.53
bLHmX-Inn,-1.16
bLHmX-Inn,-0.05
bLHmX-Inn,2.74
bLHmX-Inn,1.10
bLHmX-Inn,3.64
bLHmX-Inn,2.29
bLHmX-Inn,-1.27
bLHmX-Inn,0.33
bLHmX-Inn,2.44
bLHmX-Inn,4.76
bLHmX-Inn,6.82
bLHmX-Inn,5.17
bLHmX-Inn,2.27
bLHmX-Inn,1.10
bLHmX-Inn,8.25
bLHmX-Inn,-1.88
bLHmX-Inn,5.34
bLHmX-Inn,1.72
bLHmX-Inn,0.02
bLHmX-Inn,1.30
bLHmX-Inn,1.23
bLHmX-Inn,1.61
bLHmX-Inn,1.26
bLHmX-Inn,4.56
bLHmX-Inn,2.43
bLHmX-Inn,2.78
bLHmX-Inn,-0.74
bLHmX-Inn,3.82
bLHmX-Inn,1.00
bLHmX-Inn,2.47
bLHmX-Inn,-1.46
bLHmX-Inn,0.53
bLHmX-Inn,0.39
bLHmX-Inn,1.13
bLHmX-Inn,-1.03
bLHmX-Inn,3.30
bLHmX-Inn,3.12
bLHmX-Inn,1.59
bLHmX-Inn,-0.08
bLHmX-Inn,5.16
bLHmX-Inn,-3.59
bLHmX-Inn,1.39
bLHmX-Inn,1.78
bLHmX-Inn,-0.20
bLHmX-Inn,0.39
bLHmX-Inn,5.69
bLHmX-Inn,3.72
bLHmX-Inn,4.69
bLHmX-Inn,2.51
bLHmX-Inn,0.64
bLHmX-Inn,2.62
bLHmX-Inn,0.83
bLHmX-Inn,0.56
bLHmX-Inn,9.61
bLHmX-Inn,1.76
bLHmX-Inn,1.00
bLHmX-Inn,0.76
bLHmX-Inn,-0.49
bLHmX-Inn,5.88
bLHmX-Inn,0.54
bLHmX-Inn,2.70
bLHmX-Inn,0.03
bLHmX-Inn,4.59
bLHmX-Inn,-1.58
bLHmX-Inn,-0.82
bLHmX-Inn,2.85
bLHmX-Inn,4.54
bLHmX-Inn,3.29
bLHmX-Inn,-0.86
bLHmX-Inn,1.28
bLHmX-Inn,-1.38
bLHmX-Inn,3.45
bLHmX-Inn,-0.51
bLHmX-Inn,1.10
bLHmX-Inn,0.17
bLHmX-Inn,4.65
bLHmX-Inn,1.00
bLHmX-Inn,4.32
bLHmX-Inn,3.05
bLHmX-Inn,-0.10
bLHmX-Inn,0.31
bLHmX-Inn,5.19
bLHmX-Inn,1.10
bLHmX-Inn,-2.50
bLHmX-Inn,0.40
bLHmX-Inn,-1.37
bLHmX-Inn,1.45
bLHmX-Inn,2.71
bLHmX-Inn,0.91
bLHmX-Inn,2.46
bLHmX-Inn,5.25
bLHmX-Inn,4.74
bLHmX-Inn,0.06
bLHmX-Inn,3.34
bLHmX-Inn,6.19
bLHmX-Inn,4.52
bLHmX-Inn,3.06
bLHmX-Inn,-1.35
bLHmX-Inn,6.15
bLHmX-Inn,3.68
bLHmX-Inn,2.58
bLHmX-Inn,5.59
bLHmX-Inn,3.22
bLHmX-Inn,3.36
bLHmX-Inn,4.44
bLHmX-Inn,2.43
bLHmX-Inn,2.18
bLHmX-Inn,4.52
bLHmX-Inn,3.01
bLHmX-Inn,2.51
bLHmX-Inn,2.99
bLHmX-Inn,-0.62
bLHmX-Inn,1.38
bLHmX-Inn,1.00
bLHmX-Inn,-1.42
bLHmX-Inn,0.31
bLHmX-Inn,1.93
bLHmX-Inn,3.96
bLHmX-Inn,3.75
bLHmX-Inn,4.30
bLHmX-Inn,-0.31
bLHmX-Inn,1.12
bLHmX-Inn,1.44
bLHmX-Inn,0.88
bLHmX-Inn,1.72
bLHmX-Inn,-2.13
bLHmX-Inn,5.93
bLHmX-Inn,2.41
bLHmX-Inn,2.31
bLHmX-Inn,1.90
bLHmX-Inn,4.28
bLHmX-Inn,4.05
bLHmX-Inn,1.36
bLHmX-Inn,3.09
bLHmX-Inn,0.73
bLHmX-Inn,3.46
bLHmX-Inn,0.25
bLHmX-Inn,-0.43
bLHmX-Inn,-0.86
bLHmX-Inn,2.05
bLHmX-Inn,3.00
bLHmX-Inn,1.16
bLHmX-Inn,5.90
bLHmX-Inn,3.12
bLHmX-Inn,-0.02
bLHmX-Inn,3.10
bLHmX-Inn,2.18
bLHmX-Inn,4.24
bLHmX-Inn,2.75
bLHmX-Inn,1.89
bLHmX-Inn,2.82
bLHmX-Inn,7.86
bLHmX-Inn,3.31
bLHmX-Inn,0.57
bLHmX-Inn,2.47
bLHmX-Inn,1.90
bLHmX-Inn,2.83
bLHmX-Inn,-1.35
bLHmX-Inn,4.72
bLHmX-Inn,5.87
bLHmX-Inn,-1.31
bLHmX-Inn,3.67
bLHmX-Inn,2.93
bLHmX-Inn,2.90
bLHmX-Inn,-1.71
bLHmX-Inn,1.59
bLHmX-Inn,4.43
bLHmX-Inn,5.14
bLHmX-Inn,1.62
bLHmX-Inn,1.99
bLHmX-Inn,1.97
bLHmX-Inn,3.80
bLHmX-Inn,2.74
bLHmX-Inn,5.55
bLHmX-Inn,7.12
bLHmX-Inn,5.81
bLHmX-Inn,0.19
bLHmX-Inn,-5.13
bLHmX-Inn,-0.73
bLHmX-Inn,4.04
bLHmX-Inn,3.46
bLHmX-Inn,-0.45
bLHmX-Inn,2.05
bLHmX-Inn,1.78
bLHmX-Inn,-0.03
bLHmX-Inn,3.43
bLHmX-Inn,3.65
bLHmX-Inn,-0.36
bLHmX-Inn,5.03
bLHmX-Inn,2.16
bLHmX-Inn,3.13
bLHmX-Inn,-0.27
bLHmX-Inn,0.35
bLHmX-Inn,1.62
bLHmX-Inn,-2.42
bLHmX-Inn,6.29
bLHmX-Inn,2.22
bLHmX-Inn,0.21
bLHmX-Inn,1.63
bLHmX-Inn,4.45
bLHmX-Inn,0.18
bLHmX-Inn,3.75
bLHmX-Inn,2.94
bLHmX-Inn,1.40
bLHmX-Inn,-0.72
bLHmX-Inn,1.64
bLHmX-Inn,3.62
bLHmX-Inn,2.39
bLHmX-Inn,0.55
bLHmX-Inn,0.25
bLHmX-Inn,0.91
bLHmX-Inn,1.70
bLHmX-Inn,-1.01
bLHmX-Inn,2.29
bLHmX-Inn,0.33
bLHmX-Inn,0.23
bLHmX-Inn,2.94
bLHmX-Inn,2.84
bLHmX-Inn,1.25
bLHmX-Inn,2.98
bLHmX-Inn,2.40
bLHmX-Inn,2.63
bLHmX-Inn,4.38
bLHmX-Inn,3.11
bLHmX-Inn,1.39
bLHmX-Inn,-1.35
bLHmX-Inn,-0.85
bLHmX-Inn,4.27
bLHmX-Inn,2.15
bLHmX-Inn,0.35
bLHmX-Inn,1.05
bLHmX-Inn,0.83
bLHmX-Inn,-0.38
bLHmX-Inn,2.46
bLHmX-Inn,3.83
bLHmX-Inn,0.66
bLHmX-Inn,1.16
bLHmX-Inn,2.01
bLHmX-Inn,6.58
bLHmX-Inn,1.91
bLHmX-Inn,2.23
bLHmX-Inn,0.48
bLHmX-Inn,4.87
bLHmX-Inn,5.91
bLHmX-Inn,3.63
bLHmX-Inn,-0.15
bLHmX-Inn,2.26
bLHmX-Inn,4.18
bLHmX-Inn,4.36
bLHmX-Inn,-0.58
bLHmX-Inn,2.01
bLHmX-Inn,2.80
bLHmX-Inn,-0.34
bLHmX-Inn,0.73
bLHmX-Inn,2.75
bLHmX-Inn,4.09
bLHmX-Inn,1.86
bLHmX-Inn,4.04
bLHmX-Inn,2.92
bLHmX-Inn,5.50
bLHmX-Inn,1.36
bLHmX-Inn,2.09
bLHmX-Inn,-0.21
bLHmX-Inn,4.24
bLHmX-Inn,4.69
bLHmX-Inn,3.56
bLHmX-Inn,2.96
bLHmX-Inn,3.09
bLHmX-Inn,-0.30
bLHmX-Inn,-2.02
bLHmX-Inn,3.66
bLHmX-Inn,0.91
bLHmX-Inn,-0.91
bLHmX-Inn,1.75
bLHmX-Inn,4.18
bLHmX-Inn,1.51
bLHmX-Inn,2.46
bLHmX-Inn,3.99
bLHmX-Inn,3.43
bLHmX-Inn,-0.02
bLHmX-Inn,-3.89
bLHmX-Inn,4.27
bLHmX-Inn,0.79
bLHmX-Inn,5.39
bLHmX-Inn,-1.27
bLHmX-Inn,0.44
bLHmX-Inn,-1.01
bLHmX-Inn,1.56
bLHmX-Inn,3.28
bLHmX-Inn,1.31
bLHmX-Inn,2.03
bLHmX-Inn,2.95
bLHmX-Inn,2.36
bLHmX-Inn,0.68
bLHmX-Inn,1.11
bLHmX-Inn,3.38
bLHmX-Inn,3.47
bLHmX-Inn,2.48
bLHmX-Inn,3.25
bLHmX-Inn,-1.12
bLHmX-Inn,-0.41
bLHmX-Inn,0.40
bLHmX-Inn,4.09
bLHmX-Inn,-0.13
bLHmX-Inn,-1.82
bLHmX-Inn,1.93
bLHmX-Inn,1.95
bLHmX-Inn,6.90
bLHmX-Inn,2.65
bLHmX-Inn,1.83
bLHmX-Inn,4.83
bLHmX-Inn,2.97
bLHmX-Inn,2.59
bLHmX-Inn,3.74
bLHmX-Inn,2.67
bLHmX-Inn,4.48
bLHmX-Inn,-2.23
bLHmX-Inn,0.18
bLHmX-Inn,2.34
bLHmX-Inn,5.03
bLHmX-Inn,3.27
bLHmX-Inn,2.18
bLHmX-Inn,2.87
bLHmX-Inn,0.39
bLHmX-Inn,4.45
bLHmX-Inn,2.34
bLHmX-Inn,1.93
bLHmX-Inn,1.61
bLHmX-Inn,3.36
bLHmX-Inn,3.55
bLHmX-Inn,3.24
bLHmX-Inn,3.47
bLHmX-Inn,0.44
bLHmX-Inn,0.25
bLHmX-Inn,0.90
bLHmX-Inn,2.34
bLHmX-Inn,2.73
bLHmX-Inn,1.63
bLHmX-Inn,5.14
bLHmX-Inn,2.44
bLHmX-Inn,4.84
bLHmX-Inn,5.95
bLHmX-Inn,2.29
bLHmX-Inn,1.90
bLHmX-Inn,0.11
bLHmX-Inn,6.23
bLHmX-Inn,2.51
bLHmX-Inn,4.33
bLHmX-Inn,1.52
bLHmX-Inn,-5.18
bLHmX-Inn,2.47
bLHmX-Inn,4.98
bLHmX-Inn,2.12
bLHmX-Inn,5.22
bLHmX-Inn,1.54
bLHmX-Inn,4.46
bLHmX-Inn,1.23
bLHmX-Inn,-0.97
bLHmX-Inn,0.65
bLHmX-Inn,4.24
bLHmX-Inn,1.25
bLHmX-Inn,1.44
bLHmX-Inn,1.19
bLHmX-Inn,5.01
bLHmX-Inn,1.96
bLHmX-Inn,4.79
bLHmX-Inn,2.64
bLHmX-Inn,6.52
bLHmX-Inn,0.75
bLHmX-Inn,2.48
bLHmX-Inn,0.48
bLHmX-Inn,1.40
bLHmX-Inn,1.25
bLHmX-Inn,2.51
bLHmX-Inn,0.32
bLHmX-Inn,0.39
bLHmX-Inn,4.29
bLHmX-Inn,-2.90
bLHmX-Inn,1.57
bLHmX-Inn,0.15
bLHmX-Inn,3.35
bLHmX-Inn,0.08
bLHmX-Inn,-0.81
bLHmX-Inn,2.83
bLHmX-Inn,4.88
bLHmX-Inn,3.17
bLHmX-Inn,2.30
bLHmX-Inn,1.07
bLHmX-Inn,2.76
bLHmX-Inn,2.54
bLHmX-Inn,-1.44
bLHmX-Inn,3.58
bLHmX-Inn,0.77
bLHmX-Inn,1.62
bLHmX-Inn,5.03
bLHmX-Inn,4.36
bLHmX-Inn,3.65
bLHmX-Inn,0.03
bLHmX-Inn,0.63
bLHmX-Inn,1.29
bLHmX-Inn,0.95
bLHmX-Inn,-1.95
bLHmX-Inn,4.67
bLHmX-Inn,2.38
bLHmX-Inn,0.44
bLHmX-Inn,0.90
bLHmX-Inn,0.82
bLHmX-Inn,0.32
bLHmX-Inn,4.76
bLHmX-Inn,2.55
bLHmX-Inn,5.50
bLHmX-Inn,-0.43
bLHmX-Inn,-2.03
bLHmX-Inn,2.00
bLHmX-Inn,2.60
bLHmX-Inn,1.95
bLHmX-Inn,2.66
bLHmX-Inn,-1.86
bLHmX-Inn,4.36
bLHmX-Inn,1.75
bLHmX-Inn,3.78
bLHmX-Inn,4.95
bLHmX-Inn,1.63
bLHmX-Inn,2.02
bLHmX-Inn,3.44
bLHmX-Inn,3.18
bLHmX-Inn,2.49
bLHmX-Inn,2.03
bLHmX-Inn,1.24
bLHmX-Inn,2.12
bLHmX-Inn,5.05
bLHmX-Inn,0.33
bLHmX-Inn,2.06
bLHmX-Inn,-0.52
bLHmX-Inn,4.36
bLHmX-Inn,0.98
bLHmX-Inn,3.72
bLHmX-Inn,2.61
bLHmX-Inn,0.06
bLHmX-Inn,1.77
bLHmX-Inn,1.24
bLHmX-Inn,2.60
bLHmX-Inn,0.09
bLHmX-Inn,-0.48
bLHmX-Inn,2.43
bLHmX-Inn,0.76
bLHmX-Inn,1.70
bLHmX-Inn,-0.42
bLHmX-Inn,-1.77
bLHmX-Inn,2.82
bLHmX-Inn,0.98
bLHmX-Inn,1.78
bLHmX-Inn,1.31
bLHmX-Inn,2.91
bLHmX-Inn,2.93
bLHmX-Inn,0.23
bLHmX-Inn,-1.32
bLHmX-Inn,-0.56
bLHmX-Inn,1.93
bLHmX-Inn,3.32
bLHmX-Inn,2.40
bLHmX-Inn,2.77
bLHmX-Inn,4.41
bLHmX-Inn,2.00
bLHmX-Inn,2.42
bLHmX-Inn,-0.38
bLHmX-Inn,3.34
bLHmX-Inn,1.00
bLHmX-Inn,2.65
bLHmX-Inn,0.26
bLHmX-Inn,-0.88
bLHmX-Inn,1.39
bLHmX-Inn,4.05
bLHmX-Inn,3.47
bLHmX-Inn,2.75
bLHmX-Inn,5.31
bLHmX-Inn,0.94
bLHmX-Inn,2.66
bLHmX-Inn,6.21
bLHmX-Inn,2.57
bLHmX-Inn,3.16
bLHmX-Inn,-1.71
bLHmX-Inn,4.27
bLHmX-Inn,0.71
bLHmX-Inn,3.73
bLHmX-Inn,-1.26
bLHmX-Inn,-0.83
bLHmX-Inn,2.05
bLHmX-Inn,4.20
bLHmX-Inn,-1.56
bLHmX-Inn,4.47
bLHmX-Inn,2.42
bLHmX-Inn,2.03
bLHmX-Inn,3.80
bLHmX-Inn,2.82
bLHmX-Inn,-0.71
bLHmX-Inn,-0.03
bLHmX-Inn,-0.15
bLHmX-Inn,3.91
bLHmX-Inn,3.95
bLHmX-Inn,1.87
bLHmX-Inn,-0.13
bLHmX-Inn,9.77
bLHmX-Inn,2.37
bLHmX-Inn,4.61
bLHmX-Inn,2.03
bLHmX-Inn,1.40
bLHmX-Inn,-0.18
bLHmX-Inn,1.02
bLHmX-Inn,-0.30
bLHmX-Inn,-0.89
bLHmX-Inn,4.18
bLHmX-Inn,5.71
bLHmX-Inn,-2.29
bLHmX-Inn,2.60
bLHmX-Inn,-0.13
bLHmX-Inn,3.10
bLHmX-Inn,0.41
bLHmX-Inn,0.67
bLHmX-Inn,-0.58
bLHmX-Inn,1.66
bLHmX-Inn,4.59
bLHmX-Inn,0.65
bLHmX-Inn,-1.21
bLHmX-Inn,2.04
bLHmX-Inn,-0.07
bLHmX-Inn,3.85
bLHmX-Inn,2.21
bLHmX-Inn,3.40
bLHmX-Inn,1.66
bLHmX-Inn,1.89
bLHmX-Inn,3.75
bLHmX-Inn,0.59
bLHmX-Inn,0.85
bLHmX-Inn,-1.23
bLHmX-Inn,0.74
bLHmX-Inn,4.28
bLHmX-Inn,2.63
bLHmX-Inn,-2.72
bLHmX-Inn,2.21
bLHmX-Inn,5.02
bLHmX-Inn,3.45
bLHmX-Inn,4.57
bLHmX-Inn,2.81
bLHmX-Inn,-1.14
bLHmX-Inn,0.74
bLHmX-Inn,-0.94
bLHmX-Inn,1.11
bLHmX-Inn,0.57
bLHmX-Inn,3.10
bLHmX-Inn,0.74
bLHmX-Inn,2.37
bLHmX-Inn,3.07
bLHmX-Inn,-0.73
bLHmX-Inn,2.72
bLHmX-Inn,4.10
bLHmX-Inn,3.81
bLHmX-Inn,3.53
bLHmX-Inn,0.93
bLHmX-Inn,4.71
bLHmX-Inn,-1.13
bLHmX-Inn,5.49
bLHmX-Inn,0.90
bLHmX-Inn,0.40
bLHmX-Inn,-0.79
bLHmX-Inn,4.69
bLHmX-Inn,1.29
bLHmX-Inn,1.39
bLHmX-Inn,-2.40
bLHmX-Inn,2.47
bLHmX-Inn,-0.69
bLHmX-Inn,2.66
bLHmX-Inn,3.50
bLHmX-Inn,2.02
bLHmX-Inn,2.64
bLHmX-Inn,5.89
bLHmX-Inn,1.17
bLHmX-Inn,5.08
bLHmX-Inn,4.96
bLHmX-Inn,-2.87
bLHmX-Inn,3.07
bLHmX-Inn,3.78
bLHmX-Inn,2.36
bLHmX-Inn,0.71
bLHmX-Inn,-1.76
bLHmX-Inn,3.79
bLHmX-Inn,4.24
bLHmX-Inn,1.41
bLHmX-Inn,1.15
bLHmX-Inn,4.75
bLHmX-Inn,2.73
bLHmX-Inn,1.54
bLHmX-Inn,4.00
bLHmX-Inn,4.07
bLHmX-Inn,2.14
bLHmX-Inn,-0.45
bLHmX-Inn,0.45
bLHmX-Inn,0.03
bLHmX-Inn,-0.54
bLHmX-Inn,5.30
bLHmX-Inn,1.37
bLHmX-Inn,2.71
bLHmX-Inn,2.66
bLHmX-Inn,2.68
bLHmX-Inn,2.73
bLHmX-Inn,4.32
bLHmX-Inn,-0.59
bLHmX-Inn,2.69
bLHmX-Inn,-0.40
bLHmX-Inn,3.75
bLHmX-Inn,-1.92
bLHmX-Inn,-0.92
bLHmX-Inn,4.02
bLHmX-Inn,1.01
bLHmX-Inn,2.42
bLHmX-Inn,2.79
bLHmX-Inn,-0.43
bLHmX-Inn,0.60
bLHmX-Inn,-0.07
bLHmX-Inn,3.81
bLHmX-Inn,5.11
bLHmX-Inn,1.78
bLHmX-Inn,-1.88
bLHmX-Inn,3.15
bLHmX-Inn,-2.22
bLHmX-Inn,0.70
bLHmX-Inn,1.19
bLHmX-Inn,2.24
bLHmX-Inn,5.16
bLHmX-Inn,1.79
bLHmX-Inn,0.35
bLHmX-Inn,2.86
bLHmX-Inn,-0.46
bLHmX-Inn,2.68
bLHmX-Inn,2.02
bLHmX-Inn,-0.32
bLHmX-Inn,-1.62
bLHmX-Inn,1.28
bLHmX-Inn,1.13
bLHmX-Inn,2.71
bLHmX-Inn,3.40
bLHmX-Inn,2.77
bLHmX-Inn,0.81
bLHmX-Inn,1.60
bLHmX-Inn,5.53
bLHmX-Inn,0.43
bLHmX-Inn,2.70
bLHmX-Inn,4.97
bLHmX-Inn,4.64
bLHmX-Inn,0.68
bLHmX-Inn,3.88
bLHmX-Inn,0.96
bLHmX-Inn,1.22
bLHmX-Inn,5.27
bLHmX-Inn,1.59
bLHmX-Inn,0.29
bLHmX-Inn,-0.21
bLHmX-Inn,-0.37
bLHmX-Inn,0.28
bLHmX-Inn,2.67
bLHmX-Inn,4.53
bLHmX-Inn,2.69
bLHmX-Inn,4.16
bLHmX-Inn,5.57
bLHmX-Inn,4.34
bLHmX-Inn,2.09
bLHmX-Inn,1.56
bLHmX-Inn,1.18
bLHmX-Inn,1.80
bLHmX-Inn,2.83
bLHmX-Inn,1.52
bLHmX-Inn,3.05
bLHmX-Inn,5.26
bLHmX-Inn,3.64
bLHmX-Inn,3.54
bLHmX-Inn,0.83
bLHmX-Inn,0.83
bLHmX-Inn,3.08
bLHmX-Inn,1.10
bLHmX-Inn,-3.92
bLHmX-Inn,-0.67
bLHmX-Inn,2.82
bLHmX-Inn,1.73
bLHmX-Inn,-1.54
bLHmX-Inn,1.76
bLHmX-Inn,-0.40
bLHmX-Inn,0.72
bLHmX-Inn,1.85
bLHmX-Inn,3.68
bLHmX-Inn,2.79
bLHmX-Inn,4.51
bLHmX-Inn,1.53
bLHmX-Inn,2.94
bLHmX-Inn,2.55
bLHmX-Inn,2.59
bLHmX-Inn,1.27
bLHmX-Inn,1.12
bLHmX-Inn,1.67
bLHmX-Inn,1.82
bLHmX-Inn,-0.24
bLHmX-Inn,1.47
bLHmX-Inn,1.19
bLHmX-Inn,4.96
bLHmX-Inn,-0.61
bLHmX-Inn,-2.25
bLHmX-Inn,-0.22
bLHmX-Inn,0.71
bLHmX-Inn,-0.31
bLHmX-Inn,-3.30
bLHmX-Inn,2.17
bLHmX-Inn,5.23
bLHmX-Inn,1.41
bLHmX-Inn,5.68
bLHmX-Inn,4.37
bLHmX-Inn,3.65
bLHmX-Inn,0.08
bLHmX-Inn,1.43
bLHmX-Inn,2.35
bLHmX-Inn,0.77
bLHmX-Inn,0.31
bLHmX-Inn,-0.37
bLHmX-Inn,3.31
bLHmX-Inn,5.16
bLHmX-Inn,2.53
bLHmX-Inn,-0.58
bLHmX-Inn,2.28
bLHmX-Inn,1.31
bLHmX-Inn,1.54
bLHmX-Inn,-0.50
bLHmX-Inn,4.56
bLHmX-Inn,-2.20
bLHmX-Inn,-1.71
bLHmX-Inn,7.29
bLHmX-Inn,2.19
bLHmX-Inn,1.98
bLHmX-Inn,-2.81
bLHmX-Inn,1.28
bLHmX-Inn,1.28
bLHmX-Inn,-0.99
bLHmX-Inn,-2.51
bLHmX-Inn,0.21
bLHmX-Inn,3.71
bLHmX-Inn,-0.58
bLHmX-Inn,2.74
bLHmX-Inn,1.37
bLHmX-Inn,-1.98
bLHmX-Inn,2.25
bLHmX-Inn,2.89
bLHmX-Inn,3.93
bLHmX-Inn,2.46
bLHmX-Inn,1.83
bLHmX-Inn,1.02
bLHmX-Inn,3.16
bLHmX-Inn,2.36
bLHmX-Inn,3.22
bLHmX-Inn,4.86
bLHmX-Inn,-2.14
bLHmX-Inn,2.04
bLHmX-Inn,1.21
bLHmX-Inn,3.71
bLHmX-Inn,-2.14
bLHmX-Inn,-1.45
bLHmX-Inn,2.03
bLHmX-Inn,2.33
bLHmX-Inn,1.87
bLHmX-Inn,1.33
bLHmX-Inn,5.47
bLHmX-Inn,4.83
bLHmX-Inn,1.83
bLHmX-Inn,-1.38
bLHmX-Inn,3.43
bLHmX-Inn,2.76
bLHmX-Inn,-1.15
bLHmX-Inn,2.29
bLHmX-Inn,-0.08
bLHmX-Inn,0.47
bLHmX-Inn,4.35
bLHmX-Inn,4.59
bLHmX-Inn,-1.03
bLHmX-Inn,6.38
bLHmX-Inn,3.40
bLHmX-Inn,1.16
bLHmX-Inn,4.47
bLHmX-Inn,0.60
bLHmX-Inn,5.48
bLHmX-Inn,2.92
bLHmX-Inn,1.46
bLHmX-Inn,1.79
bLHmX-Inn,-2.52
bLHmX-Inn,2.87
bLHmX-Inn,3.15
bLHmX-Inn,1.38
bLHmX-Inn,-0.72
bLHmX-Inn,-1.28
bLHmX-Inn,0.28
bLHmX-Inn,-0.49
bLHmX-Inn,1.53
bLHmX-Inn,2.00
bLHmX-Inn,-0.37
bLHmX-Inn,4.42
bLHmX-Inn,2.93
bLHmX-Inn,-2.58
bLHmX-Inn,1.67
bLHmX-Inn,-1.46
bLHmX-Inn,5.50
bLHmX-Inn,1.65
bLHmX-Inn,2.95
bLHmX-Inn,4.59
bLHmX-Inn,3.56
bLHmX-Inn,2.38
bLHmX-Inn,-1.53
bLHmX-Inn,1.00
bLHmX-Inn,1.93
bLHmX-Inn,0.00
bLHmX-Inn,5.10
bLHmX-Inn,2.04
bLHmX-Inn,4.84
bLHmX-Inn,2.67
bLHmX-Inn,-1.95
bLHmX-Inn,2.42
bLHmX-Inn,4.61
bLHmX-Inn,0.34
bLHmX-Inn,-0.73
bLHmX-Inn,5.20
bLHmX-Inn,5.82
bLHmX-Inn,2.26
bLHmX-Inn,3.22
bLHmX-Inn,2.27
bLHmX-Inn,5.49
bLHmX-Inn,5.91
bLHmX-Inn,-1.57
bLHmX-Inn,3.48
bLHmX-Inn,5.52
bLHmX-Inn,6.41
bLHmX-Inn,0.14
bLHmX-Inn,1.57
bLHmX-Inn,1.53
bLHmX-Inn,1.20
bLHmX-Inn,0.48
bLHmX-Inn,3.68
bLHmX-Inn,3.13
bLHmX-Inn,3.61
bLHmX-Inn,2.65
bLHmX-Inn,2.53
bLHmX-Inn,0.53
bLHmX-Inn,1.99
bLHmX-Inn,0.53
bLHmX-Inn,5.53
bLHmX-Inn,2.03
bLHmX-Inn,0.09
bLHmX-Inn,3.48
bLHmX-Inn,0.73
bLHmX-Inn,0.52
bLHmX-Inn,2.89
bLHmX-Inn,3.06
bLHmX-Inn,0.52
bLHmX-Inn,3.39
bLHmX-Inn,5.28
bLHmX-Inn,0.55
bLHmX-Inn,0.59
bLHmX-Inn,3.61
bLHmX-Inn,1.41
bLHmX-Inn,3.94
bLHmX-Inn,-1.11
bLHmX-Inn,2.79
bLHmX-Inn,1.52
bLHmX-Inn,4.80
